cell_name,total,ws,bs,ps,ss,ds,rs,width,bbox,pin_access,symmetric,drc,runtime,name
,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI
GINVMCOD2,0,0,0,0,0,0,0,0,0,0,0,0,0,
GOAI21MCOD2,0,0,0,0,0,0,0,0,0,0,0,0,0,
GXNR2MCOD2,0,0,0,0,0,0,0,0,0,0,0,0,0,
GXOR2MCOD2,0,0,0,0,0,0,0,0,0,0,0,0,0,
LHCSNDD2,0,0,0,0,0,0,0,0,0,0,0,0,0,
LVLLHCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,
LVLLHCLOD2,0,0,0,0,0,0,0,0,0,0,0,0,0,
LVLLHD2,0,0,0,0,0,0,0,0,0,0,0,0,0,
LVLSRLHCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,
LVLSRLHD2,0,0,0,0,0,0,0,0,0,0,0,0,0,
TBUFV4,0,0,0,0,0,0,0,0,0,0,0,0,0,
EDFD2,17.20927473,23.7,-27.67,8.86,-5,10,7.31,37,225,0.11,-5,10,0,
SDFCNQOPTBD2,20.60100982,26.09,-23.17,8.37,-8,10,7.31,42,259.5,0.16,-8,10,0,
EDFCNQD2,25.82649118,28.51,-26.33,8.34,-2,10,7.31,36,233,0.17,-2,10,0,
SDFCNOPTBD2,29.58446637,26.67,-15,8.61,-8,10,7.31,44,273,0.14,-8,10,0,
EDFQD2,35.11329148,27.69,-15.5,7.61,-2,10,7.31,31,163.5,0.24,-2,10,0,
EDFCND2,35.27005869,29.01,-17.5,8.45,-2,10,7.31,38,240,0.16,-2,10,0,
SDFCNQD2,41.97050008,26.98,-8.33,8.02,-2,10,7.31,37,200,0.2,-2,10,0,
SEDFD2,42.10226274,25.83,-7,8.96,-3,10,7.31,45,249,0.1,-3,10,0,
SEDFCNQD2,43.52735086,30.77,-13.17,8.61,0,10,7.31,36,252.5,0.14,0,10,0,
SEDFQD2,43.99916071,30.97,-12.83,8.55,0,10,7.31,37,231,0.14,0,10,0,
SEDFQARD2,46.87365288,31.65,-9,8.91,-2,10,7.31,35,214.5,0.11,-2,10,0,
SDFCND2,47.22178016,27.56,-4.33,8.69,-2,10,7.31,39,223,0.13,-2,10,0,
DFMQD2,47.71901161,29.47,-10.33,9.27,2,10,7.31,28,163,0.07,2,10,0,
SDFQND2,48.0260338,30.13,-10.5,9.09,2,10,7.31,28,165.5,0.09,2,10,0,
DFMD2,48.15772215,29.88,-7.83,8.8,0,10,7.31,32,191,0.12,0,10,0,
SDFOPTBD2,48.26890679,30.34,-10.17,8.78,2,10,7.31,34,208,0.12,2,10,0,
SEDFCND2,48.74725661,31.16,-6.67,8.95,-2,10,7.31,38,272.5,0.11,-2,10,0,
SDFCSNQD2,52.39472123,28.44,-0.5,9.14,-2,10,7.31,38,211.5,0.09,-2,10,0,
SDFNCND2,53.06943919,27.56,-2.33,8.54,2,10,7.31,39,217,0.15,2,10,0,
SEDFARD2,53.75934128,25.81,5,8.64,-3,10,7.31,43,204,0.14,-3,10,0,
SDFD2,53.77073288,29.63,-3.5,8.33,2,10,7.31,31,173,0.17,2,10,0,
SDFQOPTBD2,54.90324221,33.73,-7.17,8.02,3,10,7.31,28,167.5,0.2,3,10,0,
SDFND2,55.02172892,29.63,-2.83,8.91,2,10,7.31,31,171,0.11,2,10,0,
SDFMQD2,55.87392563,32.89,-4.5,9.17,1,10,7.31,33,223.5,0.08,1,10,0,
SDFKSNQD2,57.38201046,30.7,-1.33,8.71,2,10,7.31,33,179,0.13,2,10,0,
SDFCNQARD2,58.58396536,32,0.5,8.77,0,10,7.31,31,171,0.12,0,10,0,
SDFQD2,58.91143684,32.63,-2,8.97,2,10,7.31,25,138,0.1,2,10,0,
DFCNQD2,60.73304678,32.21,-2,8.21,5,10,7.31,26,121.5,0.18,5,10,0,
DFD2,61.50129716,32.43,3.67,7.09,1,10,7.31,24,100,0.29,1,10,0,
DFND2,63.16796383,32.43,3.33,7.09,3,10,7.31,24,101,0.29,3,10,0,
DFNCND2,64.64990156,32.59,1.5,8.25,5,10,7.31,28,137.5,0.18,5,10,0,
DFCND2,65.2103096,32.59,2.5,7.81,5,10,7.31,28,134.5,0.22,5,10,0,
SDFCNARD2,65.69801977,32.36,3.17,8.86,4,10,7.31,33,197.5,0.11,4,10,0,
HA1D2,66.78039061,28.75,6.33,9.39,5,10,7.31,21,77,0.06,5,10,0,
DFQD2,66.91322639,32.94,5,7.66,4,10,7.31,20,73,0.23,4,10,0,
SDFCSND2,66.95396337,33.78,4.83,9.03,2,10,7.31,32,220.5,0.1,2,10,0,
XOR3D2,67.60606575,29.09,8.33,8.87,4,10,7.31,22,74,0.11,4,10,0,
SDFNCSND2,68.30640645,33.78,6.17,9.05,2,10,7.31,32,216.5,0.09,2,10,0,
DFKCNQD2,68.45047005,33.14,5.33,8.66,4,10,7.31,21,89,0.13,4,10,0,
DFSNQD2,68.86956861,33.97,5,8.59,4,10,7.31,22,94.5,0.14,4,10,0,
DFCSNQD2,69.35355917,34.15,3,8.9,6,10,7.31,27,135,0.11,6,10,0,
CKXOR2D2,69.6254006,28.15,10.33,9.83,4,10,7.31,15,43,0.02,4,10,0,
DRNQNV4,70.36045684,35.56,4.83,8.66,4,10,7.31,20,93.5,0.13,4,10,0,
XNR3D2,71.42360757,30.77,10.67,8.68,4,10,7.31,20,65.5,0.13,4,10,0,
SDFKSND2,71.48086768,31.11,12.33,8.73,2,10,7.31,35,173,0.13,2,10,0,
SDFSYNCNQD2,71.76079329,36.04,6.17,9.24,3,10,7.31,30,169,0.08,3,10,0,
EDRNQNV4,71.91056271,36.71,3.67,8.23,6,10,7.31,26,139,0.18,6,10,0,
SDFSYNCSNQD2,72.20859015,34.89,9.5,8.5,2,10,7.31,33,193.5,0.15,2,10,0,
SDFSNQD2,72.70298188,34.15,8.33,8.91,4,10,7.31,27,140,0.11,4,10,0,
