cell name,mos_num,score,width,bbox,pin_access,symmetric,drc,runtime
GINVD2,4,97.2909743,40,20,10,10,10,7.290974296
INVD2,4,97.29107382,40,20,10,10,10,7.291073822
CLKINV4,4,96.36093402,39.06976744,20,10,10,10,7.291166581
INV4,4,97.29123031,40,20,10,10,10,7.291230311
BUFFD2,6,97.28538578,40,20,10,10,10,7.285385775
CKBD2,6,97.28585755,40,20,10,10,10,7.285857547
LVLHLD2,6,97.28598865,40,20,10,10,10,7.285988649
BUFV4,6,97.28588449,40,20,10,10,10,7.285884493
CLKBUFV4,6,96.39709246,39.11111111,20,10,10,10,7.285981348
NOR2V4,6,92.25095238,38.26086957,19.33333333,9.375,8,10,7.28174948
AN2D2,8,96.65093199,40,20,9.375,10,10,7.275931986
CKND2,8,89.51950792,36.36363636,19,6.875,10,10,7.280871556
CKND2D2,8,96.10215672,40,20,8.821488698,10,10,7.280668019
GAN2D2,8,96.65508903,40,20,9.375,10,10,7.280089034
GBUFFD2,8,97.11414175,40,19.83333333,10,10,10,7.280808416
GND2D2,8,96.10200323,40,20,8.821488698,10,10,7.280514528
GNR2D2,8,96.10218737,40,20,8.821488698,10,10,7.280698673
GOR2D2,8,96.65507753,40,20,9.375,10,10,7.280077526
ND2D2,8,96.10223389,40,20,8.821488698,10,10,7.280745192
NR2D2,8,96.10194207,40,20,8.821488698,10,10,7.280453375
OR2D2,8,96.65536485,40,20,9.375,10,10,7.28036485
GAN2MCOD2,8,96.65515333,40,20,9.375,10,10,7.280153329
GBUFFMCOD2,8,97.11398497,40,19.83333333,10,10,10,7.280651634
GINVMCOD2,8,92.5580912,38.33333333,19,7.945195332,10,10,7.279562532
GNR2MCOD2,8,96.10184485,40,20,8.821488698,10,10,7.280356147
GOR2MCOD2,8,96.65551289,40,20,9.375,10,10,7.280512886
ISOHID2,8,96.65528198,40,20,9.375,10,10,7.280281978
ISOSRHID2,8,96.72023182,40,20,9.410744349,10,10,7.309487471
LVLHLCLOD2,8,96.65523677,40,20,9.375,10,10,7.280236772
AND2V4,8,96.65538174,40,20,9.375,10,10,7.28038174
CLKAND2V4,8,95.80418055,39.14893617,20,9.375,10,10,7.280244385
CLKNAND2V4,8,96.10254887,40,20,8.821488698,10,10,7.281060167
CLKNOR2V4,8,93.69662628,38.26086957,19.33333333,8.821488698,10,10,7.28093468
CLKOR2V4,8,95.80417251,39.14893617,20,9.375,10,10,7.280236338
NAND2V4,8,96.10211672,40,20,8.821488698,10,10,7.280628022
OR2V4,8,96.65508223,40,20,9.375,10,10,7.280082234
AN3D2,10,96.80116613,40,20,9.528595479,10,10,7.272570649
AO21D2,10,96.80131046,40,20,9.528595479,10,10,7.27271498
CKAN2D2,10,89.73110468,36.66666667,18.83333333,8.960650726,8,10,7.270453952
IND2D2,10,96.45878905,40,20,9.183503419,10,10,7.275285632
INR2D2,10,95.67509528,38.4,20,10,10,10,7.27509528
NR2OPTPAD2,10,91.7546461,38.4,19.33333333,8.75,8,10,7.271312762
OA21D2,10,96.80308571,40,20,9.528595479,10,10,7.274490228
OR3D2,10,96.80302401,40,20,9.528595479,10,10,7.274428533
ISOLOD2,10,96.27489722,40,20,9,10,10,7.274897221
ISOSRLOD2,10,96.83807881,40,20,9.528595479,10,10,7.309483335
LVLHLCD2,10,96.27495818,40,20,9,10,10,7.274958176
AND3V4,10,96.80352643,40,20,9.528595479,10,10,7.274930946
AO12V4,10,96.80316108,40,20,9.528595479,10,10,7.274565602
DEL1V4,10,97.2744162,40,20,10,10,10,7.274416202
NAND2XBV4,10,95.67542388,38.4,20,10,10,10,7.27542388
NOR2XBV4,10,95.6746497,38.4,20,10,10,10,7.274649704
OA12V4,10,96.80347225,40,20,9.528595479,10,10,7.27487677
OR3V4,10,96.80270947,40,20,9.528595479,10,10,7.274113989
AN4D2,12,96.90734033,40,20,9.639156082,10,10,7.268184244
AO211D2,12,96.90761112,40,20,9.639156082,10,10,7.268455042
