cell name,mos_num,score,width,bbox,pin_access,symmetric,drc,runtime
CLKINV4,4,96.38032537,39.06976744,20,10,10,10,7.310557932
GINVD2,4,97.31055467,40,20,10,10,10,7.31055467
INV4,4,97.31055848,40,20,10,10,10,7.310558477
INVD2,4,97.31055848,40,20,10,10,10,7.310558481
NOR2V4,6,92.05954954,38.26086957,19.66666667,8.821488698,8,10,7.310524614
CLKBUFV4,6,96.42163573,39.11111111,20,10,10,10,7.310524615
BUFV4,6,97.31054266,40,20,10,10,10,7.310542664
CKBD2,6,97.31054373,40,20,10,10,10,7.310543731
BUFFD2,6,97.31054537,40,20,10,10,10,7.310545371
LVLHLD2,6,97.31054646,40,20,10,10,10,7.310546462
CKND2,8,89.54912657,36.36363636,19,6.875,10,10,7.310490209
GINVMCOD2,8,91.81049731,38.33333333,19.66666667,6.5,10,10,7.310497308
CLKNOR2V4,8,93.7262113,38.26086957,19.33333333,8.821488698,10,10,7.310519702
CKND2D2,8,94.95347744,40,20,7.642977396,10,10,7.310500041
GNR2MCOD2,8,94.95349491,40,20,7.642977396,10,10,7.310517517
GND2D2,8,95.18589929,40,20,7.875408536,10,10,7.310490756
GNR2D2,8,95.18592551,40,20,7.875408536,10,10,7.310516972
CLKAND2V4,8,95.83442859,39.14893617,20,9.375,10,10,7.310492418
CLKOR2V4,8,95.83444497,39.14893617,20,9.375,10,10,7.310508803
ND2D2,8,96.13197454,40,20,8.821488698,10,10,7.310485841
NR2D2,8,96.1320084,40,20,8.821488698,10,10,7.310519702
CLKNAND2V4,8,96.1320084,40,20,8.821488698,10,10,7.310519702
NAND2V4,8,96.13200895,40,20,8.821488698,10,10,7.310520249
AND2V4,8,96.68549076,40,20,9.375,10,10,7.310490757
GAN2D2,8,96.6854984,40,20,9.375,10,10,7.310498399
LVLHLCLOD2,8,96.68551861,40,20,9.375,10,10,7.310518609
OR2D2,8,96.68551916,40,20,9.375,10,10,7.310519157
AN2D2,8,96.6855199,40,20,9.375,10,10,7.310519899
OR2V4,8,96.68552134,40,20,9.375,10,10,7.310521342
ISOHID2,8,96.68552243,40,20,9.375,10,10,7.310522432
GOR2D2,8,96.68552298,40,20,9.375,10,10,7.310522979
GAN2MCOD2,8,96.68552407,40,20,9.375,10,10,7.310524072
GOR2MCOD2,8,96.68552464,40,20,9.375,10,10,7.310524641
ISOSRHID2,8,96.7212635,40,20,9.410744349,10,10,7.310519155
GBUFFD2,8,97.14385468,40,19.83333333,10,10,10,7.310521342
GBUFFMCOD2,8,97.14385743,40,19.83333333,10,10,10,7.310524096
CKAN2D2,10,90.43769018,36.66666667,19.5,8.960650726,8,10,7.310372783
NR2OPTPAD2,10,90.96501685,38.4,19.33333333,7.921301452,8,10,7.310382069
NAND2XBV4,10,94.81045692,40,20,7.5,10,10,7.310456919
NOR2XBV4,10,94.81045853,40,20,7.5,10,10,7.310458533
INR2D2,10,95.67743151,40,20,8.367006838,10,10,7.310424673
IND2D2,10,96.31042355,40,20,9,10,10,7.310423554
LVLHLCD2,10,96.31049294,40,20,9,10,10,7.31049294
ISOLOD2,10,96.31049679,40,20,9,10,10,7.310496787
OR3D2,10,96.83904033,40,20,9.528595479,10,10,7.310444853
AN3D2,10,96.83904464,40,20,9.528595479,10,10,7.310449159
AND3V4,10,96.83904527,40,20,9.528595479,10,10,7.310449794
OA12V4,10,96.83904582,40,20,9.528595479,10,10,7.31045034
OR3V4,10,96.839048,40,20,9.528595479,10,10,7.310452524
OA21D2,10,96.83904803,40,20,9.528595479,10,10,7.310452549
AO21D2,10,96.83904971,40,20,9.528595479,10,10,7.310454226
AO12V4,10,96.83905128,40,20,9.528595479,10,10,7.310455802
ISOSRLOD2,10,96.83907315,40,20,9.528595479,10,10,7.310477672
DEL1V4,10,97.31046345,40,20,10,10,10,7.310463449
ND2OPTIBD2,12,82.209172,33.33333333,17.33333333,8.232233047,6,10,7.310272288
NR2OPTIBD2,12,82.2091753,33.33333333,17.33333333,8.232233047,6,10,7.310275588
ND2OPTPAD2,12,87.1322604,36.92307692,18.66666667,8.232233047,6,10,7.310283759
TBUFV4,12,87.1555166,38.51851852,17.16666667,8.16004982,6,10,7.310281596
NOR3V4,12,92.46220117,37.55102041,18.83333333,8.767483379,10,10,7.310364047
OA112V4,12,94.22547283,38.46153846,20,8.453526065,10,10,7.310408308
AO22V4,12,94.22547554,38.46153846,20,8.453526065,10,10,7.310411016
AO1B2V4,12,94.72584348,39.21568627,20,8.19979425,10,10,7.310362955
